mir,gene
hsa-miR-30d-5p,QKI
hsa-miR-30d-5p,TNKS2
hsa-miR-30e-5p,H19
hsa-miR-30e-5p,TNKS2
hsa-miR-30e-5p,NFIA
hsa-miR-30e-5p,QKI
hsa-miR-320a,H19
hsa-miR-320a,PTEN
hsa-miR-320a,IGF2
hsa-miR-320a,TNKS2
hsa-miR-320a,TCF4
hsa-miR-32-5p,PTEN
hsa-miR-32-5p,KLF6
hsa-miR-32-5p,TNKS2
hsa-miR-32-5p,QKI
hsa-miR-32-5p,NFIA
hsa-miR-32-5p,TCF4
hsa-miR-326,H19
hsa-miR-330-3p,H19
hsa-miR-330-3p,TNKS2
hsa-miR-330-3p,NFIA
hsa-miR-330-3p,QKI
hsa-miR-331-3p,H19
hsa-miR-331-3p,QKI
hsa-miR-331-3p,IGF2
hsa-miR-335-5p,RB1
hsa-miR-335-5p,SOX5
hsa-miR-335-5p,TNKS2
hsa-miR-335-5p,NFIA
hsa-miR-339-5p,H19
hsa-miR-33a-5p,QKI
hsa-miR-33b-5p,QKI
hsa-miR-340-5p,QKI
hsa-miR-340-5p,KLF6
hsa-miR-340-5p,PTEN
hsa-miR-342-3p,H19
hsa-miR-342-3p,PTEN
hsa-miR-342-3p,QKI
hsa-miR-346,H19
hsa-miR-346,NFIA
hsa-miR-34a-5p,IGF1
hsa-miR-34a-5p,SOX5
hsa-miR-34a-5p,NFIA
hsa-miR-34a-5p,PTEN
hsa-miR-34a-5p,TCF4
hsa-miR-362-5p,H19
hsa-miR-362-5p,NFIA
hsa-miR-3652,PTEN
hsa-miR-374a-5p,TNKS2
hsa-miR-374a-5p,PTEN
hsa-miR-374b-5p,NFIA
hsa-miR-374b-5p,TNKS2
hsa-miR-374b-5p,PTEN
hsa-miR-374b-5p,TCF4
hsa-miR-375,QKI
hsa-miR-375,NFIA
hsa-miR-378a-3p,H19
hsa-miR-378a-3p,TNKS2
hsa-miR-378c,H19
hsa-miR-378c,TNKS2
hsa-miR-378c,PTEN
hsa-miR-379-5p,IGF2
hsa-miR-382-5p,PTEN
hsa-miR-382-5p,NFIA
hsa-miR-3909,RB1
hsa-miR-421,IGF1
hsa-miR-421,QKI
hsa-miR-424-5p,H19
hsa-miR-424-5p,NFIA
hsa-miR-424-5p,QKI
hsa-miR-424-5p,IGF2
hsa-miR-425-5p,H19
hsa-miR-425-5p,QKI
hsa-miR-425-5p,PTEN
hsa-miR-429,H19
hsa-miR-429,QKI
hsa-miR-429,PTEN
hsa-miR-429,IGF2
hsa-miR-429,TNKS2
hsa-miR-429,NFIA
hsa-miR-431-5p,H19
hsa-miR-449a,TCF4
hsa-miR-451a,H19
hsa-miR-452-5p,H19
hsa-miR-452-5p,TCF4
hsa-miR-454-3p,H19
hsa-miR-454-3p,QKI
hsa-miR-454-3p,KLF6
hsa-miR-454-3p,TNKS2
hsa-miR-454-3p,IGF2
hsa-miR-454-3p,NFIA
hsa-miR-483-3p,H19
hsa-miR-483-3p,IGF1
hsa-miR-484,H19
hsa-miR-486-5p,H19
hsa-miR-491-5p,H19
hsa-miR-493-3p,QKI
hsa-miR-494,PTEN
hsa-miR-497-5p,H19
hsa-miR-497-5p,QKI
hsa-miR-497-5p,IGF2
hsa-miR-505-3p,H19
hsa-miR-505-3p,IGF1
hsa-miR-505-3p,KLF6
hsa-miR-532-5p,H19
hsa-miR-543,PTEN
hsa-miR-548s,SOX5
hsa-miR-570-3p,TNKS2
hsa-miR-590-5p,H19
hsa-miR-607,PTEN
hsa-miR-625-5p,H19
hsa-miR-652-3p,QKI
hsa-miR-665,H19
hsa-miR-665,IGF1
hsa-miR-675-5p,H19
hsa-miR-675-5p,RB1
hsa-miR-744-5p,H19
hsa-miR-7-5p,KLF6
hsa-miR-7-5p,NFIA
hsa-miR-760,H19
hsa-miR-766-3p,H19
hsa-miR-877-5p,H19
hsa-miR-877-5p,IGF2
hsa-miR-92b-3p,PTEN
hsa-miR-92b-3p,TNKS2
hsa-miR-92b-3p,NFIA
hsa-miR-92b-3p,KLF6
hsa-miR-92b-3p,QKI
hsa-miR-92b-3p,TCF4
hsa-miR-93-5p,H19
hsa-miR-93-5p,PTEN
hsa-miR-93-5p,RB1
hsa-miR-93-5p,IGF2
hsa-miR-93-5p,TNKS2
hsa-miR-93-5p,QKI
hsa-miR-93-5p,KLF6
hsa-miR-93-5p,TCF4
hsa-miR-93-5p,NFIA
hsa-miR-940,H19
hsa-miR-96-5p,H19
hsa-miR-96-5p,SOX5
hsa-miR-96-5p,TNKS2
hsa-miR-99a-5p,H19
hsa-miR-99a-5p,RB1
hsa-miR-99b-5p,H19
